00;000;PABL;Buckland, Buckland Airport;AK;United States;4;65-58-56N;161-09-07W;;;7;;
02;519;----;Ringhals;;Sweden;6;57-16N;012-07E;;;;;
02;520;ESIB;Satenas;;Sweden;6;58-26N;012-42E;;;54;74;P
02;526;ESGG;Goteborg / Landvetter;;Sweden;6;57-40N;012-18E;;;169;;
02;527;----;Goteborg / Landvetter;;Sweden;6;57-40N;012-18E;57-40N;012-18E;155;155;
02;535;ESGR;Skovde Flygplats;;Sweden;6;58-27N;013-58E;;;98;105;
02;536;----;Rangedala;;Sweden;6;57-47N;013-10E;;;297;299;
02;545;----;Axstal;;Sweden;6;58-34N;014-34E;;;91;;
02;550;ESGJ;Jonkoping Flygplats;;Sweden;6;57-46N;014-05E;;;226;232;P
02;556;ESMV;Hagshult;;Sweden;6;57-18N;014-08E;;;169;172;P
02;562;ESCF;Linkoping / Malmen;;Sweden;6;58-24N;015-31E;;;93;117;P
02;564;----;Malexander;;Sweden;6;58-04N;015-14E;;;200;;
02;565;ESSF;Hultsfred Swedish Air Force Base ;;Sweden;6;57-31N;015-50E;;;112;;
02;566;----;Malilla;;Sweden;6;57-24N;015-50E;;;96;98;P
02;567;----;Landsort;;Sweden;6;58-45N;017-52E;;;18;20;
02;569;----;Stavsjo;;Sweden;6;58-44N;016-22E;;;60;;
02;571;ESSP;Norrkoping;;Sweden;6;58-35N;016-09E;;;34;0;
02;574;----;Smhi;;Sweden;6;58-35N;016-09E;;;32;;
02;575;----;Olands Norra Udde;;Sweden;6;57-22N;017-06E;;;2;4;
02;583;----;Gustaf Dalen;;Sweden;6;58-36N;017-28E;;;;21;
02;584;----;Gotska Sandon;;Sweden;6;58-24N;019-12E;;;12;12;P
02;586;----;Harstena;;Sweden;6;58-15N;017-01E;;;5;7;P
02;590;ESSV;Visby Flygplats;;Sweden;6;57-40N;018-21E;;;51;47;P
02;591;----;Visby Aerologiska Station;;Sweden;6;57-39N;018-21E;;;45;47;
02;599;----;Nasudden;;Sweden;6;57-04N;018-13E;;;;;
02;604;ESMT;Halmstad Swedish Air Force Base ;;Sweden;6;56-41N;012-50E;;;30;;
02;605;----;Hallands Vadero;;Sweden;6;56-27N;012-33E;;;10;0;
02;606;----;Kullen;;Sweden;6;56-18N;012-27E;;;72;72;P
02;607;ESDB;Angelholm;;Sweden;6;56-18N;012-51E;;;20;47;P
02;611;----;Helsingborg;;Sweden;6;56-02N;012-46E;;;43;44;
02;614;----;Oskarsgrundet;;Sweden;6;55-36N;012-51E;;;3;0;
02;616;----;Falsterbo;;Sweden;6;55-23N;012-49E;;;5;5;P
